,sector_relative_strength,downside_volatility,breakout_20,amplitude_mean_5,relative_strength,body_strength,residual_momentum,volume_change_rate,volatility_spillover,volatility_20,reversal_2_5,mom_20,mom_10,smoothed_momentum,reversal_1,volatility_skew,up_volume_ratio,range_breakout_strength,ma_dev_20,trend_stability_20
sector_relative_strength,1.0,0.9998672283743686,0.9999044104212745,-0.004790367972452499,0.9999344776912632,0.024487124297887596,0.9999355661905508,0.999843628801481,0.9998129239554645,0.9998182037176484,0.999919788998274,0.9999131806370719,0.9999249748343979,0.9999023708191525,0.9998769335371176,0.9996596354690179,-0.01093272837334436,-0.0010919617828010087,0.9999281696220274,0.9999118556986292
downside_volatility,0.9998672283743686,1.0,0.99993542989333,0.005067136252305975,0.9998565631566528,0.02470897669969404,0.9998495161619569,0.9997900331161005,0.999957417833765,0.9999520420344651,0.999848946088581,0.999840772420558,0.999856869525077,0.9998425816139781,0.9998159831113035,0.9996165901966352,-0.012892654591686823,-0.0029917766250247865,0.9998544833620168,0.999840022920116
breakout_20,0.9999044104212745,0.99993542989333,1.0,0.0023873791861196104,0.9999279580305627,0.02648625262853942,0.9999189606898911,0.9997755633260301,0.9998802955783018,0.9998851688950688,0.9999063854549488,0.99991224578815,0.9999221941648907,0.9998921351899221,0.9998591551352937,0.9996563660396537,-0.009550986357196044,0.0018325136392395025,0.9999338405200628,0.9998954831516684
amplitude_mean_5,-0.004790367972452499,0.005067136252305975,0.0023873791861196104,1.0,-0.004157529142655461,0.04578988667171016,-0.004783241030417818,-0.006715330064026338,0.006394529469650849,0.005913024258376221,-0.004413249745475393,-0.004633904251340024,-0.004397124417476544,-0.003719722320142512,-0.004903671569735609,-0.003947169009170096,-0.08952863801535026,0.07129542957305933,-0.004094628062012782,-0.00507489804248359
relative_strength,0.9999344776912632,0.9998565631566528,0.9999279580305627,-0.004157529142655461,1.0,0.02653181831583645,0.9999916618726863,0.9997769440410904,0.9997708541217537,0.9997748571292276,0.9999419730957877,0.9999483453962688,0.9999679886730876,0.9999301226206838,0.9998679470450529,0.9996754502120033,-0.006915762907027261,0.004190358745560915,0.9999771308447133,0.9999263186568125
body_strength,0.024487124297887596,0.02470897669969404,0.02648625262853942,0.04578988667171016,0.02653181831583645,1.0,0.026159030390286754,0.020951751896504032,0.022985700030772837,0.023332654412011204,0.027733492032856296,0.025304253561988888,0.025852838063639562,0.023554218287446433,0.03254161493267185,0.02452073359841596,0.2336098858803186,0.2692190919722911,0.026298033039053603,0.023513110894195742
residual_momentum,0.9999355661905508,0.9998495161619569,0.9999189606898911,-0.004783241030417818,0.9999916618726863,0.026159030390286754,1.0,0.9997843331018279,0.9997644632427679,0.9997677354776188,0.9999467115799122,0.9999450131166443,0.9999659932524417,0.9999257312569039,0.9998715388999498,0.9996733167543638,-0.006726463547795371,0.0041236543738652634,0.9999746919262019,0.9999320533472077
volume_change_rate,0.999843628801481,0.9997900331161005,0.9997755633260301,-0.006715330064026338,0.9997769440410904,0.020951751896504032,0.9997843331018279,1.0,0.9997903392234994,0.9997881007724908,0.9997815969092466,0.9997911335835732,0.99979339010776,0.9998203863099616,0.9997755891909964,0.9995561638230909,-0.0155446879914261,-0.009298229437538557,0.999774508798648,0.9998354522951404
volatility_spillover,0.9998129239554645,0.999957417833765,0.9998802955783018,0.006394529469650849,0.9997708541217537,0.022985700030772837,0.9997644632427679,0.9997903392234994,1.0,0.9999781060898414,0.9997713320024961,0.9997743815008137,0.9997736758564092,0.9997787907324016,0.9997625706939615,0.9995421750500317,-0.015813561702399816,-0.007444574796745573,0.9997695172468183,0.9997798127119241
volatility_20,0.9998182037176484,0.9999520420344651,0.9998851688950688,0.005913024258376221,0.9997748571292276,0.023332654412011204,0.9997677354776188,0.9997881007724908,0.9999781060898414,1.0,0.999775842957839,0.9997789582808928,0.9997788249764507,0.9997830165150681,0.9997644481427855,0.9995463663182125,-0.015446675987378401,-0.007104621847746714,0.9997744239308894,0.9997844718519548
reversal_2_5,0.999919788998274,0.999848946088581,0.9999063854549488,-0.004413249745475393,0.9999419730957877,0.027733492032856296,0.9999467115799122,0.9997815969092466,0.9997713320024961,0.999775842957839,1.0,0.9998825816850282,0.9999198503598531,0.9998624262142456,0.9999015273988965,0.9996630253000326,-0.007614039982408941,0.002358068181912107,0.9999312843540769,0.999882872663018
mom_20,0.9999131806370719,0.999840772420558,0.99991224578815,-0.004633904251340024,0.9999483453962688,0.025304253561988888,0.9999450131166443,0.9997911335835732,0.9997743815008137,0.9997789582808928,0.9998825816850282,1.0,0.9999333210368473,0.9999346128033288,0.9998364162661301,0.9996470133186063,-0.008478776648017945,0.002606131693219559,0.9999567674997184,0.999960693828706
mom_10,0.9999249748343979,0.999856869525077,0.9999221941648907,-0.004397124417476544,0.9999679886730876,0.025852838063639562,0.9999659932524417,0.99979339010776,0.9997736758564092,0.9997788249764507,0.9999198503598531,0.9999333210368473,1.0,0.9999380458877174,0.9998568024526628,0.9996754724602961,-0.007535919490344539,0.003244551378908698,0.9999727433008044,0.9999203412075915
smoothed_momentum,0.9999023708191525,0.9998425816139781,0.9998921351899221,-0.003719722320142512,0.9999301226206838,0.023554218287446433,0.9999257312569039,0.9998203863099616,0.9997787907324016,0.9997830165150681,0.9998624262142456,0.9999346128033288,0.9999380458877174,1.0,0.9997832887728251,0.9996384002398955,-0.008987733466702933,0.0010891312404424907,0.9999362539202052,0.9999401392262086
reversal_1,0.9998769335371176,0.9998159831113035,0.9998591551352937,-0.004903671569735609,0.9998679470450529,0.03254161493267185,0.9998715388999498,0.9997755891909964,0.9997625706939615,0.9997644481427855,0.9999015273988965,0.9998364162661301,0.9998568024526628,0.9997832887728251,1.0,0.9996002447146233,-0.010732318565964797,-0.000875220947116852,0.9998633088046784,0.9998235341392673
volatility_skew,0.9996596354690179,0.9996165901966352,0.9996563660396537,-0.003947169009170096,0.9996754502120033,0.02452073359841596,0.9996733167543638,0.9995561638230909,0.9995421750500317,0.9995463663182125,0.9996630253000326,0.9996470133186063,0.9996754724602961,0.9996384002398955,0.9996002447146233,1.0,-0.009879351450521481,0.0007495278053148079,0.999672463933538,0.9996495521023138
up_volume_ratio,-0.01093272837334436,-0.012892654591686823,-0.009550986357196044,-0.08952863801535026,-0.006915762907027261,0.2336098858803186,-0.006726463547795371,-0.0155446879914261,-0.015813561702399816,-0.015446675987378401,-0.007614039982408941,-0.008478776648017945,-0.007535919490344539,-0.008987733466702933,-0.010732318565964797,-0.009879351450521481,1.0,0.5301409444112939,-0.007127988962636826,-0.008778464948917996
range_breakout_strength,-0.0010919617828010087,-0.0029917766250247865,0.0018325136392395025,0.07129542957305933,0.004190358745560915,0.2692190919722911,0.0041236543738652634,-0.009298229437538557,-0.007444574796745573,-0.007104621847746714,0.002358068181912107,0.002606131693219559,0.003244551378908698,0.0010891312404424907,-0.000875220947116852,0.0007495278053148079,0.5301409444112939,1.0,0.004761691818952697,0.0016164029302899116
ma_dev_20,0.9999281696220274,0.9998544833620168,0.9999338405200628,-0.004094628062012782,0.9999771308447133,0.026298033039053603,0.9999746919262019,0.999774508798648,0.9997695172468183,0.9997744239308894,0.9999312843540769,0.9999567674997184,0.9999727433008044,0.9999362539202052,0.9998633088046784,0.999672463933538,-0.007127988962636826,0.004761691818952697,1.0,0.9999336718930169
trend_stability_20,0.9999118556986292,0.999840022920116,0.9998954831516684,-0.00507489804248359,0.9999263186568125,0.023513110894195742,0.9999320533472077,0.9998354522951404,0.9997798127119241,0.9997844718519548,0.999882872663018,0.999960693828706,0.9999203412075915,0.9999401392262086,0.9998235341392673,0.9996495521023138,-0.008778464948917996,0.0016164029302899116,0.9999336718930169,1.0
