factor,train_sharpe_before_orient,orientation_sign,oriented
sector_relative_strength,-0.3257486086343362,-1,True
downside_volatility,0.30676779694143785,1,False
breakout_20,-0.3153138636102014,-1,True
amplitude_mean_5,0.0305125512324051,1,False
relative_strength,-0.3238827211030405,-1,True
body_strength,-0.12993881597388365,-1,True
residual_momentum,-0.3233264418591011,-1,True
volume_change_rate,0.29642215455893756,1,False
volatility_spillover,0.3010770055112401,1,False
volatility_20,0.3030581301966704,1,False
reversal_2_5,0.3243449672589672,1,False
mom_20,-0.3158074009660029,-1,True
mom_10,-0.31938073785491294,-1,True
smoothed_momentum,-0.3120350800111549,-1,True
reversal_1,0.32241533254499594,1,False
volatility_skew,0.32587990627470426,1,False
up_volume_ratio,-0.5629288011724347,-1,True
range_breakout_strength,-0.5507038855586915,-1,True
ma_dev_20,-0.320331399140156,-1,True
trend_stability_20,-0.3029179158314831,-1,True
